,,,,,,,,Points,Points,Points,,Top Players,Top Players,Top Players,Top Players,Off Rank,Off Rank,Def Rank,Def Rank,Overall Rank,Overall Rank,Overall Rank,Overall Rank,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System
Year▼,Lg,Tm,W,L,T,Div. Finish,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts,Yds,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
1929,NFL,Chicago Cardinals,6,6,1,4th of 12,,154,83,71,Scanlon,,,,,4,1,3,1,1,3,1,12,5.5,0.2,5.7,2.3,3.4
1928,NFL,Chicago Cardinals,1,5,0,9th of 10,,7,107,-100,Gillies,,,,,10,1,9,1,1,9,1,10,-16.7,1.1,-15.6,-7.8,-7.7
1927,NFL,Chicago Cardinals,3,7,1,9th of 12,,69,134,-65,Chamberlin,,,,,9,1,9,1,1,9,1,12,-5.9,1.8,-4.1,-1.6,-2.5
1926,NFL,Chicago Cardinals,5,6,1,10th of 22,,74,98,-24,Barry,,,,,11,1,13,1,1,12,1,22,-2.0,3.0,1.0,-0.4,1.4
1925,NFL,Chicago Cardinals,11,2,1,1st of 20,Won Champ,230,65,165,Barry,,,,,2,1,3,1,1,2,1,20,11.8,-10.1,1.7,1.3,0.4
1924,NFL,Chicago Cardinals,5,4,1,8th of 18,,90,67,23,Horween,,,,,10,1,7,1,1,8,1,18,2.3,-6.4,-4.1,-4.1,0.0
1923,NFL,Chicago Cardinals,8,4,0,6th of 20,,161,56,105,Horween,,,,,2,1,7,1,1,2,1,20,8.8,-7.1,1.7,1.0,0.6
1922,NFL,Chicago Cardinals,8,3,0,3rd of 18,,96,50,46,Driscoll,,,,,8,1,5,1,1,7,1,18,4.2,-5.0,-0.9,-1.7,0.9
1921,APFA,Chicago Cardinals,3,3,2,8th of 21,,54,53,1,Driscoll,,,,,13,1,6,1,1,11,1,21,0.1,-2.6,-2.4,-3.2,0.7
1920,APFA,Chicago Cardinals,6,2,2,4th of 14,,115,43,72,Driscoll,,,,,8,1,4,1,1,8,1,14,7.2,-1.9,5.3,1.3,4.0
